ORGANISM_NAME,total_tests,S_rate_Amik,S_rate_Amikacin,S_rate_Amoxicillin/Clavulanate,S_rate_Amoxicillin/Clavulanic Acid,S_rate_Ampicillin,S_rate_Anidulafungin,S_rate_Aztreonam,S_rate_Cefazolin,S_rate_Cefepime,S_rate_Cefiderocol,S_rate_Cefotaxime,S_rate_Cefoxitin,S_rate_Ceftaroline,S_rate_Ceftazidime,S_rate_Ceftazidime/Avibactam,S_rate_Ceftolozane/Tazobactam,S_rate_Ceftriaxone,S_rate_Cefuroxime,S_rate_Cephalexin,S_rate_Ciprofloxacin,S_rate_Clarithromycin,S_rate_Clindamycin,S_rate_Colistin,S_rate_Cotrimoxazole,S_rate_Daptomycin,S_rate_Doxycycline,S_rate_Ertapenem,S_rate_Erythromycin,S_rate_Ethambutol,S_rate_Flucloxacillin,S_rate_Fluconazole,S_rate_Fosfomycin,S_rate_Fusidic Acid,S_rate_Gentamicin,S_rate_Gentamicin Synergy,S_rate_Imipenem,S_rate_Isoniazid 0.1,S_rate_Isoniazid 0.4,S_rate_Linezolid,S_rate_Mero,S_rate_Meropenem,S_rate_Micafungin,S_rate_Minocycline,S_rate_Moxifloxacin,S_rate_Mupirocin,S_rate_Nitrofurantoin,S_rate_Norfloxacin,S_rate_Oxacillin,S_rate_Pefloxacin,S_rate_Penicillin,S_rate_Piperacillin/Tazobactam,S_rate_Pyrazinamide,S_rate_Quinupristin/Dalfopristin,S_rate_Rifabutin,S_rate_Rifampicin,S_rate_Streptomycin,S_rate_Streptomycin Synergy,S_rate_Teicoplanin,S_rate_Temocillin,S_rate_Ticarcillin/Clavulanic Acid,S_rate_Tigecycline,S_rate_Tobramycin,S_rate_Trimethoprim,S_rate_Vancomycin,S_rate_Voriconazole,tests_Amik,tests_Amikacin,tests_Amoxicillin/Clavulanate,tests_Amoxicillin/Clavulanic Acid,tests_Ampicillin,tests_Anidulafungin,tests_Aztreonam,tests_Cefazolin,tests_Cefepime,tests_Cefiderocol,tests_Cefotaxime,tests_Cefoxitin,tests_Ceftaroline,tests_Ceftazidime,tests_Ceftazidime/Avibactam,tests_Ceftolozane/Tazobactam,tests_Ceftriaxone,tests_Cefuroxime,tests_Cephalexin,tests_Ciprofloxacin,tests_Clarithromycin,tests_Clindamycin,tests_Colistin,tests_Cotrimoxazole,tests_Daptomycin,tests_Doxycycline,tests_Ertapenem,tests_Erythromycin,tests_Ethambutol,tests_Flucloxacillin,tests_Fluconazole,tests_Fosfomycin,tests_Fusidic Acid,tests_Gentamicin,tests_Gentamicin Synergy,tests_Imipenem,tests_Isoniazid 0.1,tests_Isoniazid 0.4,tests_Linezolid,tests_Mero,tests_Meropenem,tests_Micafungin,tests_Minocycline,tests_Moxifloxacin,tests_Mupirocin,tests_Nitrofurantoin,tests_Norfloxacin,tests_Oxacillin,tests_Pefloxacin,tests_Penicillin,tests_Piperacillin/Tazobactam,tests_Pyrazinamide,tests_Quinupristin/Dalfopristin,tests_Rifabutin,tests_Rifampicin,tests_Streptomycin,tests_Streptomycin Synergy,tests_Teicoplanin,tests_Temocillin,tests_Ticarcillin/Clavulanic Acid,tests_Tigecycline,tests_Tobramycin,tests_Trimethoprim,tests_Vancomycin,tests_Voriconazole
Enterobacter cloacae complex,654,0.0,100.0,0.0,0.0,0.0,0.0,78.6,0.0,89.3,0.0,0.0,0.0,0.0,71.4,0.0,74.1,67.9,0.0,0.0,96.6,0.0,0.0,33.3,96.4,0.0,0.0,78.6,0.0,0.0,0.0,0.0,82.1,0.0,97.2,0.0,100.0,0.0,0.0,0.0,0.0,93.1,0.0,0.0,0.0,0.0,0.0,84.2,0.0,0.0,0.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,88.2,0.0,0.0,0.0,28.0,28.0,19.0,34.0,0.0,28.0,0.0,28.0,0.0,0.0,29.0,0.0,28.0,0.0,27.0,28.0,0.0,37.0,29.0,0.0,0.0,3.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,36.0,0.0,28.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,34.0,0.0,0.0
Enterobacter hormaechei,28,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,100.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
Enterobacter kobei,12,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterobacter species,44,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Enterococcus faecalis,609,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,94.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,99.0,0.0,0.0,0.0,0.0,4.0,99.0,0.0
Enterococcus faecium,71,0.0,0.0,0.0,33.3,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,33.3,90.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0
Enterococcus hirae,8,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Enterococcus raffinosus,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Enterococcus species,5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Escherichia coli,3813,0.0,98.1,65.7,89.9,46.6,0.0,59.6,0.0,63.5,0.0,0.0,77.2,0.0,56.2,0.0,96.1,59.7,4.8,82.4,50.4,0.0,0.0,100.0,50.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,94.6,0.0,90.9,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,97.1,75.4,0.0,0.0,0.0,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,69.3,67.0,0.0,0.0,0.0,105.0,102.0,276.0,328.0,0.0,104.0,0.0,104.0,0.0,6.0,114.0,0.0,105.0,0.0,103.0,119.0,104.0,319.0,115.0,0.0,0.0,6.0,104.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,37.0,0.0,330.0,0.0,104.0,0.0,0.0,0.0,2.0,117.0,0.0,0.0,0.0,0.0,105.0,313.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,114.0,315.0,0.0,0.0
Gram negative rods,13,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Group B Streptococcus,20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Group C Streptococcus,10,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Group G Streptococcus,29,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
"Haemophilus influenzae, non-typeable",2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella aerogenes (formerly Enterobacter aerogenes),367,0.0,100.0,0.0,0.0,0.0,0.0,86.7,0.0,93.8,0.0,0.0,0.0,0.0,81.2,0.0,81.2,81.2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,93.8,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,16.0,16.0,11.0,19.0,0.0,15.0,0.0,16.0,0.0,1.0,18.0,0.0,16.0,0.0,16.0,16.0,0.0,19.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0,0.0,20.0,0.0,16.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0
Klebsiella oxytoca,223,0.0,100.0,71.4,84.6,0.0,0.0,71.4,0.0,57.1,0.0,0.0,100.0,0.0,57.1,0.0,100.0,55.6,0.0,81.2,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,94.4,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,93.8,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,7.0,7.0,13.0,18.0,0.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,9.0,7.0,16.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0
Klebsiella pneumoniae,792,0.0,100.0,83.3,93.9,0.0,0.0,79.2,0.0,79.2,100.0,0.0,55.6,0.0,72.0,100.0,82.6,76.0,9.1,84.1,65.4,0.0,0.0,80.0,76.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,90.5,0.0,96.9,0.0,100.0,0.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,79.4,0.0,0.0,0.0,25.0,24.0,49.0,65.0,0.0,24.0,0.0,24.0,1.0,1.0,27.0,0.0,25.0,2.0,23.0,25.0,22.0,63.0,26.0,0.0,0.0,5.0,25.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,21.0,0.0,65.0,0.0,24.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,63.0,0.0,0.0
Klebsiella pneumoniae complex,81,0.0,100.0,50.0,87.5,0.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0
Klebsiella variicola,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Methicillin resistant Staphylococcus aureus,1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3,0.0,93.4,98.4,85.2,0.0,53.8,0.0,0.0,0.0,98.4,96.7,65.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,49.2,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,57.4,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,0.0,61.0,61.0,61.0,0.0,65.0,0.0,61.0,0.0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,61.0,60.0,0.0,0.0,61.0,0.0,65.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0
Morganella morganii,238,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,80.0,0.0,80.0,0.0,100.0,88.9,0.0,0.0,100.0,0.0,0.0,0.0,90.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.8,0.0,0.0,0.0,10.0,10.0,6.0,13.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,9.0,0.0,13.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0
Mucoid Pseudomonas aeruginosa,217,0.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,25.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
